efo_otar_slim_id	efo_label	rs_classification
EFO:0000718	exposure temperature	04-non-disease
EFO:0000719	temporal measurement	04-non-disease
EFO:0000721	time	04-non-disease
EFO:0000724	timepoint	04-non-disease
EFO:0000729	ulcerative colitis	02-disease-root
EFO:0000730	undifferentiated sarcoma	01-disease-subtype
EFO:0000731	uterine fibroid	01-disease-subtype
EFO:0000734	vitamin B12 deficiency	01-disease-subtype
EFO:0000736	well-differentiated liposarcoma	01-disease-subtype
EFO:0000737	well-differentiated sarcoma	02-disease-root
EFO:0000756	melanoma	02-disease-root
EFO:0000759	lipoma	02-disease-root
EFO:0000760	malignant peripheral nerve sheath tumor	02-disease-root
EFO:0000762	hepatocellular adenoma	02-disease-root
EFO:0000763	viral disease	03-disease-area
EFO:0000764	HIV infection	02-disease-root
EFO:0000765	AIDS	01-disease-subtype
EFO:0000767	idiopathic cardiomyopathy	01-disease-subtype
EFO:0000768	idiopathic pulmonary fibrosis	01-disease-subtype
EFO:0000769	Epstein-Barr virus infection	01-disease-subtype
EFO:0000770	malignant pleural mesothelioma	01-disease-subtype
EFO:0000771	bacterial disease	03-disease-area
EFO:0000772	pneumococcal infection	02-disease-root
EFO:0000773	temporal lobe epilepsy	02-disease-root
EFO:0000775	Whipple's disease	02-disease-root
EFO:0000776	Aeromonas hydrophila infection	02-disease-root
EFO:0000777	human granulocytic anaplasmosis	01-disease-subtype
EFO:0000778	anthrax infection	01-disease-subtype
EFO:0000779	Drosophila C virus infection	01-disease-subtype
EFO:0000780	Enterococcus faecalis infection	02-disease-root
EFO:0000781	Pectobacterium carotovorum infection	02-disease-root
EFO:0000782	Hibiscus chlorotic ringspot virus infection	02-disease-root
EFO:0000783	myositis	02-disease-root
EFO:0001054	leprosy	02-disease-root
EFO:0001055	borderline leprosy	01-disease-subtype
EFO:0001056	tuberculoid leprosy	01-disease-subtype
EFO:0001057	lepromatous leprosy	01-disease-subtype
EFO:0001060	celiac disease	02-disease-root
EFO:0001061	cervical carcinoma	03-disease-area
EFO:0001062	cytomegalovirus infection	02-disease-root
EFO:0001063	deafness	02-disease-root
EFO:0001064	Down syndrome	01-disease-subtype
EFO:0001065	endometriosis	02-disease-root
EFO:0001066	experimental autoimmune encephalomyelitis	02-disease-root
EFO:0001067	parasitic infection	03-disease-area
EFO:0001068	malaria	02-disease-root
EFO:0001069	nutritional disorder	03-disease-area
EFO:0001070	folate deficiency	04-non-disease
EFO:0001071	lung carcinoma	01-disease-subtype
EFO:0001072	memory impairment	04-non-disease
EFO:0001073	obesity	02-disease-root
EFO:0001074	morbid obesity	01-disease-subtype
EFO:0001075	ovarian carcinoma	02-disease-root
EFO:0001076	Pseudomonas infection	03-disease-area
EFO:0001077	Pseudomonas aeruginosa CF5 infection	01-disease-subtype
EFO:0001078	Pseudomonas aeruginosa PA14 infection	01-disease-subtype
EFO:0001356	familial amyotrophic lateral sclerosis	02-disease-root
EFO:0001357	sporadic amyotrophic lateral sclerosis	01-disease-subtype
EFO:0001358	post-traumatic stress disorder	02-disease-root
EFO:0001361	pulmonary arterial hypertension	01-disease-subtype
EFO:0001365	age-related macular degeneration	02-disease-root
EFO:0001376	synovial sarcoma	02-disease-root
EFO:0001378	multiple myeloma	02-disease-root
EFO:0001379	endocrine system disease	03-disease-area
EFO:0001380	hypopituitarism	03-disease-area
EFO:0001382	puberty	04-non-disease
EFO:0001416	cervical adenocarcinoma	02-disease-root
EFO:0001421	liver disease	03-disease-area
EFO:0001422	cirrhosis of liver	02-disease-root
EFO:0001423	encephalomyelitis	03-disease-area
EFO:0001425	ischemic cardiomyopathy	01-disease-subtype
EFO:0001444	measurement	04-non-disease
EFO:0001642	lymphoid neoplasm	03-disease-area
EFO:0001645	coronary artery disease	02-disease-root
EFO:0001663	prostate carcinoma	01-disease-subtype
EFO:0001666	aortic aneurysm	02-disease-root
EFO:0001668	human papilloma virus infection	02-disease-root
EFO:0001675	simian immunodeficiency virus infection	02-disease-root
EFO:0002087	fibrosarcoma	02-disease-root
EFO:0002422	benign neoplasm	03-disease-area
EFO:0002423	osteoma	02-disease-root
EFO:0002424	fibroma	02-disease-root
EFO:0002425	neoplasm of immature B and T cells	03-disease-area
EFO:0002426	neoplasm of mature T-cells or NK-cells	03-disease-area
EFO:0002427	myeloid neoplasm	03-disease-area
EFO:0002428	chronic myeloproliferative disorder	03-disease-area
EFO:0002429	polycythemia vera	02-disease-root
EFO:0002430	primary myelofibrosis	02-disease-root
EFO:0002431	tumour of cranial and spinal nerves	03-disease-area
EFO:0002460	hypertrophy	04-non-disease
EFO:0002461	skeletal system disease	03-disease-area
EFO:0002496	actinic keratosis	02-disease-root
EFO:0002497	acute hypotension	01-disease-subtype
EFO:0002498	aggressive insulitis	02-disease-root
EFO:0002499	anaplastic astrocytoma	01-disease-subtype
EFO:0002500	anaplastic oligoastrocytoma	01-disease-subtype
EFO:0002501	anaplastic oligodendroglioma	01-disease-subtype
EFO:0002502	benign insulitis	02-disease-root
EFO:0002503	cardiac hypertrophy	04-non-disease
EFO:0002504	serous cystadenoma	01-disease-subtype
EFO:0002507	ovarian adenoma benign	02-disease-root
EFO:0002509	progressive external ophthalmoplegia	02-disease-root
EFO:0002510	serous cystadenofibroma	01-disease-subtype
EFO:0002511	simple cystadenoma	01-disease-subtype
EFO:0002517	pancreatic ductal adenocarcinoma	01-disease-subtype
EFO:0002546	abnormal glucose tolerance	04-non-disease
EFO:0002571	medical procedure	04-non-disease
EFO:0002581	pancreatectomy	04-non-disease
EFO:0002608	AIDS dementia	02-disease-root
EFO:0002609	juvenile idiopathic arthritis	02-disease-root
EFO:0002610	cocaine dependence	02-disease-root
EFO:0002612	human herpesvirus 8 infection	01-disease-subtype
EFO:0002613	iatrogenic Kaposi's sarcoma	01-disease-subtype
EFO:0002614	insulin resistance	04-non-disease
EFO:0002615	internal carotid artery stenosis	02-disease-root
EFO:0002616	macroglobulinemia	01-disease-subtype
EFO:0002617	metastatic melanoma	01-disease-subtype
EFO:0002618	pancreatic carcinoma	02-disease-root
EFO:0002621	prostate intraepithelial neoplasia	01-disease-subtype
EFO:0002622	rotavirus infection	02-disease-root
EFO:0002623	septic peritonitis	01-disease-subtype
EFO:0002626	thymus neoplasm	03-disease-area
EFO:0002627	vulvar intraepithelial neoplasia	02-disease-root
EFO:0002628	peripartum cardiomyopathy	01-disease-subtype
EFO:0002629	viral cardiomyopathy	01-disease-subtype
EFO:0002630	restrictive cardiomyopathy	03-disease-area
EFO:0002686	atopy	02-disease-root
EFO:0002687	ischemia reperfusion injury	04-non-disease
EFO:0002689	antiphospholipid syndrome	02-disease-root
EFO:0002690	systemic lupus erythematosus	02-disease-root
EFO:0002756	fasting	04-non-disease
EFO:0002890	renal carcinoma	01-disease-subtype
EFO:0002892	thyroid carcinoma	03-disease-area
EFO:0002893	choriocarcinoma	01-disease-subtype
EFO:0002894	amelanotic skin melanoma	01-disease-subtype
EFO:0002913	Cutaneous T-cell lymphoma	02-disease-root
EFO:0002914	uterine sarcoma	01-disease-subtype
EFO:0002916	esophageal carcinoma	01-disease-subtype
EFO:0002917	ovarian serous adenocarcinoma	01-disease-subtype
EFO:0002918	rhabdomyosarcoma	01-disease-subtype
EFO:0002919	uterine carcinoma	03-disease-area
EFO:0002920	vulva sarcoma	01-disease-subtype
EFO:0002921	vulvar carcinoma	01-disease-subtype
EFO:0002938	hypopharyngeal carcinoma	01-disease-subtype
EFO:0002939	medulloblastoma	02-disease-root
EFO:0002945	familial cardiomyopathy	01-disease-subtype
EFO:0002950	pregnancy	04-non-disease
EFO:0002970	muscular disease	03-disease-area
EFO:0003014	breast fibrocystic disease	03-disease-area
EFO:0003015	aggressive behavior	04-non-disease
EFO:0003016	collecting duct carcinoma	01-disease-subtype
EFO:0003017	transitional cell carcinoma of kidney	01-disease-subtype
EFO:0003025	acute megakaryoblastic leukaemia	01-disease-subtype
EFO:0003026	minimally differentiated acute myeloblastic leukemia	01-disease-subtype
EFO:0003027	acute myeloblastic leukemia without maturation	01-disease-subtype
EFO:0003028	acute myeloblastic leukemia with maturation	01-disease-subtype
EFO:0003029	acute basophilic leukemia	01-disease-subtype
EFO:0003030	abscess	02-disease-root
EFO:0003032	anaplastic large cell lymphoma	02-disease-root
EFO:0003033	bacteriemia	02-disease-root
EFO:0003035	cellulitis	01-disease-subtype
EFO:0003046	heart transplant rejection	04-non-disease
EFO:0003047	hepatitis C virus infection	02-disease-root
EFO:0003050	large cell lung carcinoma	01-disease-subtype
EFO:0003060	non-small cell lung carcinoma	02-disease-root
EFO:0003063	polymyositis	01-disease-subtype
EFO:0003073	asymptomatic myeloma	01-disease-subtype
EFO:0003075	xanthoma	02-disease-root
EFO:0003083	pleomorphic liposarcoma	01-disease-subtype
EFO:0003084	round cell liposarcoma	01-disease-subtype
EFO:0003085	dedifferentiated liposarcoma	01-disease-subtype
EFO:0003086	kidney disease	03-disease-area
EFO:0003094	ganglioglioma	02-disease-root
EFO:0003095	non-alcoholic fatty liver disease	02-disease-root
EFO:0003096	Pick disease	01-disease-subtype
EFO:0003097	empyema	02-disease-root
EFO:0003099	Cushing syndrome	02-disease-root
EFO:0003100	peripheral neuropathy	03-disease-area
EFO:0003101	testicular seminoma	01-disease-subtype
EFO:0003102	osteomyelitis	02-disease-root
EFO:0003103	urinary tract infection	03-disease-area
EFO:0003104	adrenocortical adenoma	02-disease-root
EFO:0003105	spina bifida	02-disease-root
EFO:0003106	pneumonia	02-disease-root
EFO:0003108	essential tremor	02-disease-root
EFO:0003110	villitis	01-disease-subtype
EFO:0003144	heart failure	02-disease-root
EFO:0003145	high output heart failure	01-disease-subtype
EFO:0003146	symptomatic heart failure	01-disease-subtype
EFO:0003147	mild heart failure	01-disease-subtype
EFO:0003148	moderate heart failure	01-disease-subtype
EFO:0003149	advanced heart failure	01-disease-subtype
EFO:0003756	autism spectrum disorder	02-disease-root
EFO:0003757	Asperger syndrome	02-disease-root
EFO:0003758	autism	02-disease-root
EFO:0003759	pervasive developmental disorder - not otherwise specified	01-disease-subtype
EFO:0003760	central nervous system cyst	02-disease-root
EFO:0003761	unipolar depression	02-disease-root
EFO:0003762	vitamin D deficiency	04-non-disease
EFO:0003763	cerebrovascular disorder	03-disease-area
EFO:0003764	transient ischemic attack	01-disease-subtype
EFO:0003765	sign or symptom	04-non-disease
EFO:0003767	inflammatory bowel disease	02-disease-root
EFO:0003768	nicotine dependence	02-disease-root
EFO:0003769	endocrine neoplasm	03-disease-area
EFO:0003770	diabetic retinopathy	02-disease-root
EFO:0003776	coronary artery bypass	04-non-disease
EFO:0003777	heart disease	03-disease-area
EFO:0003778	psoriatic arthritis	02-disease-root
EFO:0003779	Hashimoto's thyroiditis	02-disease-root
EFO:0003780	Behcet's syndrome	01-disease-subtype
EFO:0003781	carotid artery disease	03-disease-area
EFO:0003782	motor neuron disease	03-disease-area
EFO:0003783	progressive bulbar palsy	01-disease-subtype
EFO:0003784	skin pigmentation	04-non-disease
EFO:0003802	refractory anemia	01-disease-subtype
EFO:0003811	refractory anemia with excess blasts	01-disease-subtype
EFO:0003812	refractory anemia with ringed sideroblasts	01-disease-subtype
EFO:0003817	laryngeal neoplasm	03-disease-area
EFO:0003818	lung disease	03-disease-area
EFO:0003819	dental caries	02-disease-root
EFO:0003820	bone neoplasm	03-disease-area
EFO:0003822	hyperemia	04-non-disease
EFO:0003824	eye neoplasm	03-disease-area
EFO:0003825	serous adenocarcinoma	03-disease-area
EFO:0003826	salivary gland neoplasm	03-disease-area
EFO:0003827	pulmonary embolism	02-disease-root
EFO:0003828	spinal cord neoplasm	03-disease-area
EFO:0003830	prostatitis	02-disease-root
EFO:0003832	gallbladder disease	03-disease-area
EFO:0003833	brain neoplasm	03-disease-area
EFO:0003834	cutaneous lupus erythematosus	01-disease-subtype
EFO:0003835	anal neoplasm	03-disease-area
EFO:0003837	calcification	04-non-disease
EFO:0003839	retinopathy	03-disease-area
EFO:0003840	chronic progressive multiple sclerosis	01-disease-subtype
EFO:0003841	thyroid neoplasm	03-disease-area
EFO:0003843	pain	04-non-disease
EFO:0003844	ureteral neoplasm	03-disease-area
EFO:0003846	urethral neoplasm	03-disease-area
EFO:0003847	intellectual disability	04-non-disease
EFO:0003849	palatal neoplasm	02-disease-root
EFO:0003850	adrenal gland neoplasm	03-disease-area
EFO:0003851	meningeal neoplasm	03-disease-area
EFO:0003852	developmental disability	03-disease-area
EFO:0003853	respiratory system neoplasm	03-disease-area
EFO:0003854	postmenopausal osteoporosis	01-disease-subtype
EFO:0003855	intestinal polyp	02-disease-root
EFO:0003856	dissection	04-non-disease
EFO:0003857	arthrogryposis	02-disease-root
EFO:0003859	uterine neoplasm	03-disease-area
EFO:0003860	pancreatic neoplasm	03-disease-area
EFO:0003863	urogenital neoplasm	03-disease-area
EFO:0003865	kidney neoplasm	03-disease-area
EFO:0003866	paranasal sinus neoplasm	03-disease-area
EFO:0003867	rhabdomyolysis	02-disease-root
EFO:0003868	mouth neoplasm	03-disease-area
EFO:0003869	breast neoplasm	03-disease-area
EFO:0003870	brain aneurysm	02-disease-root
EFO:0003871	tongue neoplasm	03-disease-area
EFO:0003872	colitis	02-disease-root
EFO:0003873	parotid neoplasm	03-disease-area
EFO:0003874	flatfoot	02-disease-root
EFO:0003875	peripheral vascular disease	03-disease-area
EFO:0003876	intermittent vascular claudication	02-disease-root
EFO:0003877	sleep apnea	02-disease-root
EFO:0003878	urethritis	01-disease-subtype
EFO:0003880	appendiceal neoplasm	03-disease-area
EFO:0003881	hysterectomy	04-non-disease
EFO:0003882	osteoporosis	02-disease-root
EFO:0003884	chronic kidney disease	02-disease-root
EFO:0003888	attention deficit hyperactivity disorder	02-disease-root
EFO:0003889	functional laterality	04-non-disease
EFO:0003890	drug dependence	03-disease-area
EFO:0003891	biliary tract neoplasm	03-disease-area
EFO:0003892	pulmonary function measurement	04-non-disease
EFO:0003893	ovarian neoplasm	03-disease-area
EFO:0003894	acne	02-disease-root
EFO:0003895	epistaxis	01-disease-subtype
EFO:0003896	left ventricular hypertrophy	04-non-disease
EFO:0003897	stomach neoplasm	03-disease-area
EFO:0003898	ankylosing spondylitis	01-disease-subtype
EFO:0003899	contracture	02-disease-root
EFO:0003900	ciliopathy	03-disease-area
EFO:0003901	dysuria	04-non-disease
EFO:0003902	spinal fracture	01-disease-subtype
EFO:0003906	heart valve prosthesis	04-non-disease
EFO:0003907	deep vein thrombosis	04-non-disease
EFO:0003911	atrial flutter	02-disease-root
EFO:0003912	ankle brachial index	04-non-disease
EFO:0003913	angina pectoris	04-non-disease
EFO:0003914	atherosclerosis	02-disease-root
EFO:0003917	premature birth	04-non-disease
EFO:0003918	obstructive sleep apnea	01-disease-subtype
EFO:0003921	pouchitis	02-disease-root
EFO:0003922	menopause	04-non-disease
EFO:0003923	bone density	04-non-disease
EFO:0003924	hair color	04-non-disease
EFO:0003925	cognition	04-non-disease
EFO:0003926	neuropsychological test	04-non-disease
EFO:0003928	necrotizing enterocolitis	01-disease-subtype
EFO:0003929	relapsing-remitting multiple sclerosis	01-disease-subtype
EFO:0003930	menarche	04-non-disease
EFO:0003931	bone fracture	03-disease-area
EFO:0003932	bacterial vaginosis	01-disease-subtype
EFO:0003938	aphthous ulcer	02-disease-root
EFO:0003939	energy intake	04-non-disease
EFO:0003940	physical activity	04-non-disease
EFO:0003942	Xenograft	04-non-disease
EFO:0003943	humerus fracture	01-disease-subtype
EFO:0003944	tibia fracture	02-disease-root
EFO:0003948	gastroesophageal reflux disease	02-disease-root
EFO:0003949	eye color	04-non-disease
EFO:0003950	ulna fracture	01-disease-subtype
EFO:0003951	percutaneous transluminal coronary angioplasty	04-non-disease
EFO:0003952	fever of unknown origin	04-non-disease
EFO:0003953	circumcision	04-non-disease
EFO:0003955	bacterial sexually transmitted disease	03-disease-area
EFO:0003956	seasonal allergic rhinitis	01-disease-subtype
EFO:0003957	radius fracture	01-disease-subtype
EFO:0003958	sunburn	01-disease-subtype
EFO:0003959	cleft lip	04-non-disease
EFO:0003960	computed tomography	04-non-disease
EFO:0003962	pulsed doppler echocardiography	04-non-disease
EFO:0003963	freckles	04-non-disease
EFO:0003964	hip fracture	02-disease-root
EFO:0003965	very low birth weight infant	04-non-disease
EFO:0003966	eye disease	03-disease-area
EFO:0003967	vascular sarcoma	02-disease-root
EFO:0003968	angiosarcoma	01-disease-subtype
EFO:0004125	growth hormone-secreting pituitary adenoma	02-disease-root
EFO:0004126	Adie syndrome	02-disease-root
EFO:0004127	hyperthyroxinemia	02-disease-root
EFO:0004128	hereditary nephritis	03-disease-area
EFO:0004129	familial amyloid neuropathy	01-disease-subtype
EFO:0004134	tumor size	04-non-disease
EFO:0004138	bundle branch block	02-disease-root
EFO:0004142	colorectal neoplasm	03-disease-area
EFO:0004143	carpal tunnel syndrome	02-disease-root
EFO:0004144	acatalasia	01-disease-subtype
EFO:0004145	myopathy	03-disease-area
EFO:0004149	neuropathy	03-disease-area
EFO:0004152	chorea	02-disease-root
EFO:0004190	open-angle glaucoma	01-disease-subtype
EFO:0004191	androgenetic alopecia	01-disease-subtype
EFO:0004192	alopecia areata	02-disease-root
EFO:0004193	basal cell carcinoma	02-disease-root
EFO:0004194	IGA glomerulonephritis	02-disease-root
EFO:0004196	viral human hepatitis infection	03-disease-area
EFO:0004197	hepatitis B virus infection	02-disease-root
EFO:0004198	skin neoplasm	03-disease-area
EFO:0004199	dysplastic nevus	02-disease-root
EFO:0004207	pathological myopia	04-non-disease
EFO:0004208	Vitiligo	02-disease-root
